question_number,question_text,question_length,option1,option1_length,option2,option2_length,option3,option3_length,option4,option4_length,option_count,correct_answer_numbers,correct_answer_text,required,keyword,image,short_last_option
140,Hành vi nào sau đây bị nghiêm cấm?,34,"Điều khiển xe cơ giới lạng lách, đánh võng, rú ga liên tục khi tham gia giao thông trên đường.",94,"Xúc phạm, đe dọa, cản trở, chống đối hoặc không chấp hành hiệu lệnh, hướng dẫn, yêu cầu kiểm tra, kiểm soát của người thi hành công vụ về bảo đảm trật tự, an toàn giao thông đường bộ.",183,Cả hai ý trên.,14,,0,3,3,Cả hai ý trên.,False,cấm,False,True
141,"Biển nào (đặt trước ngã ba, ngã tư) cho phép xe được rẽ sang hướng khác?",72,Biển 1.,7,Biển 2.,7,Không biển nào.,15,,0,3,3,Không biển nào.,False,biển,True,False
142,Khổ giới hạn của đường bộ được hiểu như thế nào là đúng?,56,"Khổ giới hạn của đường bộ là khoảng trống có kích thước giới hạn về chiều rộng, chiều cao của đường bộ để các xe, bao gồm cả hàng hoá xếp trên xe đi qua được an toàn và được xác định theo quy chuẩn, tiêu chuẩn kỹ thuật của đường bộ.",232,"Là khoảng trống có kích thước giới hạn về chiều rộng của đường, cầu, bến phà, hầm trên đường bộ để các xe kể cả hàng hóa xếp trên xe đi qua được an toàn.",153,"Là khoảng trống có kích thước giới hạn về chiều cao của cầu, bến phà, hầm trên đường bộ để các xe đi qua được an toàn.",118,,0,3,1,"Khổ giới hạn của đường bộ là khoảng trống có kích thước giới hạn về chiều rộng, chiều cao của đường bộ để các xe, bao gồm cả hàng hoá xếp trên xe đi qua được an toàn và được xác định theo quy chuẩn, tiêu chuẩn kỹ thuật của đường bộ.",False,đường bộ,False,False
143,"Người được chở trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy khi tham gia giao thông đường bộ có được sử dụng ô khi trời mưa hay không?",142,Được sử dụng.,13,Chỉ người ngồi sau được sử dụng.,32,Không được sử dụng.,19,Được sử dụng nếu không có áo mưa.,33,4,3,Không được sử dụng.,False,xe mô tô,False,False
144,Khi điều khiển xe trên đường vòng người lái xe cần phải làm gì để bảo đảm an toàn?,82,"Quan sát cẩn thận các chướng ngại vật và báo hiệu bằng coi, đèn; giảm tốc độ tới mức cần thiết, về số thấp và thực hiện quay vòng với tốc độ phù hợp với bán kính cong của đường vòng.",182,"Quan sát cẩn thận các chướng ngại vật và báo hiệu bằng còi, đèn; tăng tốc để nhanh chóng qua đường vòng và giảm tốc độ sau khi qua đường vòng.",142,,0,,0,2,1,"Quan sát cẩn thận các chướng ngại vật và báo hiệu bằng coi, đèn; giảm tốc độ tới mức cần thiết, về số thấp và thực hiện quay vòng với tốc độ phù hợp với bán kính cong của đường vòng.",False,an toàn,False,False
145,Người lái xe được phép vượt xe khác về bên phải trong trường hợp nào dưới đây?,78,Xe phía trước có tín hiệu rẽ trái hoặc đang rẽ trái hoặc khi xe chuyên dùng đang làm việc trên đường mà không thể vượt bên trái.,128,Xe phía trước đang đi sát lề đường bên trái.,44,Cả hai ý trên.,14,,0,3,1,Xe phía trước có tín hiệu rẽ trái hoặc đang rẽ trái hoặc khi xe chuyên dùng đang làm việc trên đường mà không thể vượt bên trái.,False,vượt,False,True
146,Những thói quen nào dưới đây khi điều khiển xe mô tô tay ga tham gia giao thông dễ gây tai nạn nguy hiểm?,105,Sử dụng còi.,12,Phanh đồng thời cả phanh trước và phanh sau.,44,Chỉ sử dụng phanh trước.,24,,0,3,3,Chỉ sử dụng phanh trước.,False,xe mô tô,False,True
147,"Theo tín hiệu đèn, xe nào phải dừng lại là đúng quy tắc giao thông?",67,"Xe khách, xe mô tô.",19,"Xe tải, xe mô tô.",17,"Xe con, xe tải.",15,,0,3,3,"Xe con, xe tải.",False,giao thông,False,False
148,"Tại nơi đường giao nhau không có báo hiệu đi theo vòng xuyến, người điều khiển phương tiện phải nhường đường như thế nào là đúng quy tắc giao thông?",148,Phải nhường đường cho xe đi đến từ bên phải.,44,"Xe báo hiệu xin đường trước, xe đó được đi trước.",49,Phải nhường đường cho xe đi đến từ bên trái.,44,,0,3,1,Phải nhường đường cho xe đi đến từ bên phải.,False,giao thông,False,False
149,Bạn có được phép vượt xe mô tô phía trước không?,48,Cho phép.,9,Không được vượt.,16,,0,,0,2,2,Không được vượt.,False,xe mô tô,False,False
150,Các xe đi theo thứ tự nào là đúng quy tắc giao thông đường bộ?,62,"Xe của bạn, xe mô tô, xe đạp.",29,"Xe mô tô, xe đạp, xe của bạn.",29,"Xe đạp, xe mô tô, xe của bạn.",29,,0,3,3,"Xe đạp, xe mô tô, xe của bạn.",False,giao thông,False,False
151,Biển báo này có ý nghĩa như thế nào?,36,"Báo hiệu đường có ổ gà, lồi lõm.",32,Báo hiệu đường có gồ giảm tốc phía trước.,41,,0,,0,2,1,"Báo hiệu đường có ổ gà, lồi lõm.",False,biển,False,False
152,Người có Giấy phép lái xe mô tô hạng A được phép điều khiển loại xe nào dưới đây?,81,Xe mô tô hai bánh có dung tích xi-lanh đến 125 cm3 hoặc có công suất động cơ điện đến 11 kW.,92,Xe mô tô hai bánh có dung tích xi-lanh trên 125 cm3 hoặc có công suất động cơ điện trên 11 kW.,94,Cả hai ý trên.,14,,0,3,3,Cả hai ý trên.,False,xe mô tô,False,True
153,Biển nào xe được phép quay đầu nhưng không được rẽ trái?,56,Biển 1.,7,Biển 2.,7,Cả hai biển.,12,,0,3,1,Biển 1.,False,biển,True,False
154,"Khi lái xe trong đô thị và khu đông dân cư trong thời gian từ 22 giờ ngày hôm trước đến 05 giờ ngày hôm sau, nếu cần vượt một xe khác, người lái xe phải báo hiệu như thế nào là đúng quy tắc giao thông?",201,Chỉ được báo hiệu bằng còi.,27,Phải báo hiệu bằng cả còi và đèn.,33,Chỉ được báo hiệu bằng đèn.,27,,0,3,3,Chỉ được báo hiệu bằng đèn.,False,giao thông,False,False
155,"Tại đường ngang, cầu chung đường sắt, khi có hiệu lệnh của nhân viên gác chắn, đèn đỏ sáng nhấp nháy, chuông kêu, chắn đường bộ đang dịch chuyển hoặc đã đóng, người tham gia giao thông đường bộ phải làm gì để bảo đảm an toàn?",225,"Dừng lại về bên trái đường của mình, trước vạch dừng xe.",56,"Dừng lại giữa đường của mình, trước vạch dừng xe.",49,"Dừng lại về bên phải đường của mình, trước vạch dừng xe.",56,,0,3,3,"Dừng lại về bên phải đường của mình, trước vạch dừng xe.",False,giao thông,False,False
156,"Người lái xe phải nhanh chóng giảm tốc độ, đi sát lề đường bên phải hoặc dừng lại để nhường đường cho các loại xe nào dưới đây?",127,"Xe chữa cháy của Cảnh sát phòng cháy, chữa cháy và cứu nạn, cứu hộ và xe chữa cháy của các lực lượng khác; xe của lực lượng quân sự, công an và kiểm sát; đoàn xe có xe Cảnh sát giao thông dẫn đường; xe cứu thương; xe hộ đê không có tín hiệu ưu tiên theo quy định.",263,"Xe ưu tiên gồm xe chữa cháy của Cảnh sát phòng cháy, chữa cháy và cứu nạn, cứu hộ và xe chữa cháy của các lực lượng khác được huy động đi làm nhiệm vụ chữa cháy; xe của lực lượng quân sự, công an và kiểm sát đi làm nhiệm vụ khẩn cấp; đoàn xe có xe Cảnh sát giao thông dẫn đường; xe cứu thương đi làm nhiệm vụ cấp cứu; xe hộ đê đi làm nhiệm vụ; xe đi làm nhiệm vụ cứu nạn, cứu hộ, khắc phục sự cố thiên tai, dịch bệnh hoặc xe đi làm nhiệm vụ trong tình trạng khẩn cấp theo quy định của pháp luật; đoàn xe tang.",509,"Xe ô tô, xe máy, đoàn xe đang diễu hành có tổ chức có báo tín hiệu xin vượt bằng còi và đèn.",92,,0,3,2,"Xe ưu tiên gồm xe chữa cháy của Cảnh sát phòng cháy, chữa cháy và cứu nạn, cứu hộ và xe chữa cháy của các lực lượng khác được huy động đi làm nhiệm vụ chữa cháy; xe của lực lượng quân sự, công an và kiểm sát đi làm nhiệm vụ khẩn cấp; đoàn xe có xe Cảnh sát giao thông dẫn đường; xe cứu thương đi làm nhiệm vụ cấp cứu; xe hộ đê đi làm nhiệm vụ; xe đi làm nhiệm vụ cứu nạn, cứu hộ, khắc phục sự cố thiên tai, dịch bệnh hoặc xe đi làm nhiệm vụ trong tình trạng khẩn cấp theo quy định của pháp luật; đoàn xe tang.",False,tốc độ,False,True
157,Biển nào xe mô tô hai bánh được đi vào?,39,Biển 1 và 2.,12,Biển 1 và 3.,12,Biển 2 và 3.,12,,0,3,2,Biển 1 và 3.,False,xe mô tô,True,False
158,Phương tiện giao thông đường bộ gồm những loại nào?,51,Phương tiện giao thông cơ giới đường bộ.,40,"Phương tiện giao thông thô sơ đường bộ, xe máy chuyên dùng và các loại xe tương tự.",83,Cả hai ý trên.,14,,0,3,3,Cả hai ý trên.,False,giao thông,False,True
159,Ba biển này có hiệu lực như thế nào?,36,Cấm các loại xe ở biển phụ đi vào.,34,Cấm các loại xe cơ giới đi vào trừ loại xe ở biển phụ.,54,,0,,0,2,1,Cấm các loại xe ở biển phụ đi vào.,False,biển,False,False
160,"Biển nào báo hiệu phải giảm tốc độ, nhường đường cho xe cơ giới đi ngược chiều qua đường hẹp?",93,Biển 1.,7,Biển 2,6,Biển 3,6,,0,3,2,Biển 2,False,tốc độ,True,False
161,Biển nào báo hiệu sắp đến chỗ giao nhau nguy hiểm?,50,Biển 1.,7,Biển 1 và biển 2.,19,Biển 2 và biển 3.,19,Cả ba biển.,13,4,4,Cả ba biển.,False,biển,True,False
162,"Biển nào báo hiệu ""Hướng đi thẳng phải theo""?",45,Biển 1.,7,Biển 2,6,,0,,0,2,1,Biển 1.,False,biển,True,False
163,Người điều khiển phương tiện tham gia giao thông đường bộ gồm những đối tượng nào dưới đây?,91,"Người điều khiển xe cơ giới, người điều khiển xe thô sơ.",56,Người điều khiển xe máy chuyên dùng.,36,Cả hai ý trên.,14,,0,3,3,Cả hai ý trên.,False,giao thông,False,True
164,"Biển nào báo hiệu ""Đường đôi""?",30,Biển 1.,7,Biển 2.,7,Biển 3.,7,,0,3,3,Biển 3.,False,biển,True,False
165,Biển nào chỉ dẫn người lái xe đi được cả hai hướng?,51,Biển 1.,7,Biển 2.,7,,0,,0,2,2,Biển 2.,False,biển,True,False
166,"Khi điều khiển xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy, những hành vi nào sau đây không được phép?",106,"Buông cả hai tay; đứng, nằm trên xe điều khiển xe; sử dụng chân chống hoặc vật khác quệt xuống đường khi xe đang chạy.",118,"Chở tối đa hai người phía sau khi chở người bệnh đi cấp cứu, áp giải người có hành vi vi phạm pháp luật, trẻ em dưới 12 tuổi và người già yếu hoặc người khuyết tật.",164,,0,,0,2,1,"Buông cả hai tay; đứng, nằm trên xe điều khiển xe; sử dụng chân chống hoặc vật khác quệt xuống đường khi xe đang chạy.",False,xe mô tô,False,False
167,Xe nào đỗ vi phạm quy tắc giao thông?,37,Cả hai xe.,10,Không xe nào vi phạm.,21,Chỉ xe mô tô vi phạm.,21,Chỉ xe tải vi phạm.,19,4,1,Cả hai xe.,False,giao thông,False,False
168,"Trong các biển dưới đây biển nào là biển ""Hết tốc độ tối đa cho phép""?",70,Biển 1.,7,Biển 2.,7,Biển 3.,8,Cả ba biển.,12,4,1,Biển 1.,False,tốc độ,True,False
169,"Theo hướng mũi tên, những hướng nào xe mô tô được phép đi?",58,Cả ba hướng.,12,Hướng 1 và 2.,13,Hướng 1 và 3.,13,Hướng 2 và 3.,13,4,3,Hướng 1 và 3.,False,xe mô tô,False,False
170,"Người lái xe mô tô hai bánh, xe gắn máy được phép chở tối đa hai người trong những trường hợp nào?",98,Chở người bệnh đi cấp cứu; áp giải người có hành vi vi phạm pháp luật; trẻ em dưới 12 tuổi; người già yếu hoặc người khuyết tật.,128,"Người đã uống rượu, bia; người trong cơ thể có chất ma tuý.",59,Cả hai ý trên.,14,,0,3,1,Chở người bệnh đi cấp cứu; áp giải người có hành vi vi phạm pháp luật; trẻ em dưới 12 tuổi; người già yếu hoặc người khuyết tật.,False,xe mô tô,False,True
171,"Người tham gia giao thông đường bộ phải dừng lại về bên phải đường của mình trước vạch dừng xe tại đường ngang, cầu chung đường sắt khi có báo hiệu nào dưới đây?",161,Hiệu lệnh của nhân viên gác chắn.,33,"Đèn đỏ sáng nhấp nháy, chuông kêu.",34,Chắn đường bộ đang dịch chuyển hoặc đã đóng.,44,Cả ba ý trên.,13,4,4,Cả ba ý trên.,False,giao thông,False,True
172,Biển nào dưới đây xe gắn máy được phép đi vào?,46,Biển 1.,7,Biển 2.,7,Cả hai biển.,14,,0,3,3,Cả hai biển.,False,biển,True,False
173,Người có giấy phép lái xe đã bị trừ hết điểm phải làm gì để phục hồi điểm giấy phép lái xe?,91,"Không vi phạm pháp luật trật tự, an toàn giao thông đường bộ trong thời gian 12 tháng kể từ ngày bị trừ hết điểm.",113,"Sau thời hạn ít nhất là 06 tháng kể từ ngày bị trừ hết điểm, người có phép lái xe được tham gia kiểm tra nội dung kiến thức pháp luật về trật tự, an toàn giao thông đường bộ theo quy định, có kết quả đạt yêu cầu thì được phục hồi đủ 12 điểm.",241,Cả hai ý trên.,14,,0,3,2,"Sau thời hạn ít nhất là 06 tháng kể từ ngày bị trừ hết điểm, người có phép lái xe được tham gia kiểm tra nội dung kiến thức pháp luật về trật tự, an toàn giao thông đường bộ theo quy định, có kết quả đạt yêu cầu thì được phục hồi đủ 12 điểm.",False,giấy phép,False,True
174,"Biển nào báo hiệu ""Cửa chui""?",29,Biển 1.,7,Biển 2.,7,Biển 3.,7,,0,3,2,Biển 2.,False,biển,True,False
175,"Việc sản xuất, sử dụng, mua, bán trái phép biển số xe có bị nghiêm cấm hay không?",81,Không bị nghiêm cấm.,20,Bị nghiêm cấm.,14,Bị nghiêm cấm tuỳ trường hợp.,29,,0,3,2,Bị nghiêm cấm.,False,biển,False,False
176,Khi gặp hiệu lệnh điều khiển của Cảnh sát giao thông như hình dưới đây thì người tham gia giao thông đường bộ phải đi như thế nào là đúng quy tắc giao thông?,157,"Người tham gia giao thông đường bộ ở phía sau Cảnh sát giao thông được đi, các hướng khác phải dừng lại.",104,Người tham gia giao thông đường bộ được rẽ phải theo chiều mũi tên màu xanh ở bục Cảnh sát giao thông.,102,"Người tham gia giao thông đường bộ ở tất cả các hướng phải dừng lại, trừ các xe đã ở trong khu vực giao nhau.",109,"Người tham gia giao thông đường bộ ở phía trước Cảnh sát giao thông phải dừng lại, các hướng khác được đi.",106,4,3,"Người tham gia giao thông đường bộ ở tất cả các hướng phải dừng lại, trừ các xe đã ở trong khu vực giao nhau.",False,giao thông,False,False
177,Biển nào báo hiệu hạn chế tốc độ của phương tiện không vượt quá trị số ghi trên biển?,85,Biển 1.,7,Biển 2.,7,,0,,0,2,2,Biển 2.,False,tốc độ,True,False
178,Bạn có được phép vượt xe mô tô phía trước không?,48,Cho phép.,9,Không được vượt.,16,,0,,0,2,2,Không được vượt.,False,xe mô tô,False,False
179,Nơi nào cấm quay đầu xe?,24,"Ở phần đường dành cho người đi bộ qua đường, trên cầu, đầu cầu, gầm cầu vượt, ngầm.",83,"Tại nơi đường bộ giao nhau cùng mức với đường sắt, đường hẹp, đường dốc, đoạn đường cong tầm nhìn bị che khuất, trên đường cao tốc, trong hầm đường bộ, trên đường một chiều.",173,Cả hai ý trên.,14,,0,3,3,Cả hai ý trên.,False,cấm,False,True
180,Số 50 ghi trên biển báo dưới đây có ý nghĩa như thế nào?,56,Tốc độ tối đa các xe cơ giới được phép chạy.,44,Tốc độ tối thiểu các xe cơ giới được phép chạy.,47,,0,,0,2,1,Tốc độ tối đa các xe cơ giới được phép chạy.,False,biển,False,False
181,Khi hiệu lệnh của người điều khiển giao thông trái với tín hiệu đèn giao thông hoặc biển báo hiệu đường bộ thì người tham gia giao thông đường bộ phải chấp hành báo hiệu đường bộ nào dưới đây?,192,Theo hiệu lệnh của người điều khiển giao thông.,47,Theo tín hiệu đèn giao thông.,29,Theo biển báo hiệu đường bộ.,28,,0,3,1,Theo hiệu lệnh của người điều khiển giao thông.,False,biển,False,True
182,"Trách nhiệm của tổ chức, cá nhân đứng tên trong giấy chứng nhận đăng ký xe khi chưa thực hiện thu hồi chứng nhận đăng ký xe, biển số xe được quy định như thế nào?",162,Tiếp tục chịu trách nhiệm của chủ xe.,37,"Không chịu trách nhiệm sau khi đã chuyển nhượng, trao đổi, tặng, cho.",69,,0,,0,2,1,Tiếp tục chịu trách nhiệm của chủ xe.,False,biển,False,False
183,Biển nào xe được phép rẽ trái?,30,Biển 1.,7,Biển 2.,7,Không biển nào.,17,,0,3,2,Biển 2.,False,biển,True,False
184,"Trước khi cho xe chuyển hướng, người lái xe phải làm gì để bảo đảm an toàn giao thông?",86,"Phải quan sát, bảo đảm khoảng cách an toàn với xe phía sau.",59,Giảm tốc độ và có tín hiệu báo hướng rẽ.,40,"Chuyển dần sang làn gần nhất với hướng rẽ. Khi bảo đảm an toàn, không gây trở ngại cho người và phương tiện khác mới được chuyển hướng.",135,Cả ba ý trên.,13,4,4,Cả ba ý trên.,False,giao thông,False,True
185,"Tại nơi đường giao nhau có báo hiệu đi theo vòng xuyến, người lái xe phải nhường đường như thế nào là đúng quy tắc giao thông?",126,Nhường đường cho xe đi đến từ bên phải.,39,Nhường đường cho xe đi đến từ bên trái.,39,Không phải nhường đường.,24,,0,3,2,Nhường đường cho xe đi đến từ bên trái.,False,giao thông,False,False
186,"Trên đường bộ ngoài khu vực đông dân cư, đường hai chiều hoặc đường một chiều có một làn xe cơ giới (trừ đường cao tốc), loại xe nào dưới đây được tham gia giao thông với tốc độ khai thác tối đa cho phép là 60 km/h?",215,"Xe ô tô chở người đến 28 chỗ không kể chỗ của người lái xe (trừ xe buýt); ô tô tải có trọng tải không lớn hơn 3,5 tấn.",118,"Xe ô tô chở người trên 28 chỗ không kể chỗ người lái xe (trừ xe buýt); ô tô tải có trọng tải trên 3,5 tấn (trừ ô tô xi téc).",124,"Xe buýt; ô tô đầu kéo kéo sơ mi rơ moóc (trừ ô tô đầu kéo kéo sơ mi rơ moóc xi téc); xe mô tô; ô tô chuyên dùng (trừ ô tô trộn vữa, ô tô trộn bê tông lưu động).",160,"Ô tô kéo rơ moóc; ô tô kéo xe khác; ô tô trộn vữa, ô tô trộn bê tông lưu động, ô tô xi téc, ô tô đầu kéo kéo sơ mi rơ moóc xi téc, ô tô kéo theo rơ moóc xi téc.",160,4,3,"Xe buýt; ô tô đầu kéo kéo sơ mi rơ moóc (trừ ô tô đầu kéo kéo sơ mi rơ moóc xi téc); xe mô tô; ô tô chuyên dùng (trừ ô tô trộn vữa, ô tô trộn bê tông lưu động).",False,tốc độ,False,False
187,Gương chiếu hậu của xe mô tô hai bánh có tác dụng gì dưới đây?,62,Để quan sát an toàn phía bên trái khi chuẩn bị rẽ trái.,55,Để quan sát an toàn phía bên phải khi chuẩn bị rẽ phải.,55,Để quan sát an toàn phía sau của bên trái và bên phải trước khi chuyển hướng.,77,Để quan sát an toàn phía trước cả bên trái và bên phải trước khi chuyển hướng.,78,4,3,Để quan sát an toàn phía sau của bên trái và bên phải trước khi chuyển hướng.,False,xe mô tô,False,False
188,Gặp biển nào người tham gia giao thông phải đi chậm và thận trọng đề phòng khả năng xuất hiện và di chuyển bất ngờ của trẻ em trên mặt đường?,141,Biển 1.,7,Biển 2.,7,,0,,0,2,2,Biển 2.,False,biển,True,False
189,Hai biển này có ý nghĩa như thế nào?,36,Để chỉ nơi đường sắt giao vuông góc với đường bộ không có rào chắn.,67,"Để báo trước sắp đến vị trí giao cắt đường bộ với đường sắt cùng mức, không vuông góc và không có người gác, không có rào chắn.",127,Nơi đường sắt giao nhau với đường bộ.,37,,0,3,1,Để chỉ nơi đường sắt giao vuông góc với đường bộ không có rào chắn.,False,biển,False,True
190,Các xe đi theo thứ tự nào là đúng quy tắc giao thông đường bộ?,62,"Xe của bạn, xe mô tô, xe con.",29,"Xe con, xe của bạn, xe mô tô.",29,"Xe mô tô, xe con, xe của bạn.",29,,0,3,2,"Xe con, xe của bạn, xe mô tô.",False,giao thông,False,False
191,Người lái xe sử dụng đèn như thế nào khi đi trên các đoạn đường qua khu đông dân cư có hệ thống chiếu sáng đang hoạt động?,122,Chỉ bật đèn chiếu xa (đèn pha).,31,"Bật đèn chiếu xa (đèn pha) khi đường vắng, bật đèn chiếu gần (đèn cốt) khi có xe đi ngược chiều.",96,Chỉ bật đèn chiếu gần (đèn cốt).,32,,0,3,3,Chỉ bật đèn chiếu gần (đèn cốt).,False,đèn,False,True
192,Biển này có ý nghĩa như thế nào?,32,Cấm dừng xe về hướng bên trái.,30,Cấm dừng và đỗ xe theo hướng bên phải.,38,Được phép đỗ xe và dừng xe theo hướng bên phải.,47,,0,3,2,Cấm dừng và đỗ xe theo hướng bên phải.,False,biển,False,False
193,"Gặp biển báo dưới đây, người lái xe có bắt buộc phải chạy vòng theo đảo an toàn theo hướng mũi tên khi muốn chuyển hướng hay không?",131,Bắt buộc.,9,Không bắt buộc.,15,,0,,0,2,1,Bắt buộc.,False,biển,False,False
194,Các biện pháp tiết kiệm nhiên liệu khi chạy xe?,47,Bảo dưỡng xe theo định kỳ và có kế hoạch lộ trình trước khi xe chạy.,68,Kiểm tra áp suất lốp theo quy định và chạy xe với tốc độ phù hợp với tình trạng mặt đường và mật độ giao thông trên đường.,122,Cả hai ý trên.,14,,0,3,3,Cả hai ý trên.,False,biện,False,True
195,Thứ tự xuống phà như thế nào là đúng quy tắc giao thông?,56,"Xe thô sơ, người đi bộ xuống trước, xe cơ giới, xe máy chuyên dùng xuống sau.",77,"Xe cơ giới, xe máy chuyên dùng xuống trước, xe thô sơ, người đi bộ xuống sau.",77,"Xe cơ giới, xe thô sơ xuống trước, xe máy chuyên dùng, người đi bộ xuống sau.",77,,0,3,2,"Xe cơ giới, xe máy chuyên dùng xuống trước, xe thô sơ, người đi bộ xuống sau.",False,giao thông,False,False
196,"Khi điều khiển xe qua đường sắt, người lái xe cần phải thực hiện các thao tác nào dưới đây để bảo đảm an toàn?",110,"Khi có chuông báo hoặc thanh chắn đã hạ xuống, người lái xe phải dừng xe tạm thời đúng khoảng cách an toàn, kéo phanh tay nếu đường dốc hoặc phải chờ lâu",153,"Khi không có chuông báo hoặc thanh chắn không hạ xuống, người lái xe cần phải quan sát nếu thấy đủ điều kiện an toàn thì về số thấp, tăng ga nhẹ và không thay đổi số trong quá trình vượt qua đường sắt để tránh động cơ chết máy cho xe cho vượt qua.",247,Cả hai ý trên.,14,,0,3,3,Cả hai ý trên.,False,đường sắt,False,True
197,"Người lái xe không điều khiển xe đi đúng làn đường quy định, phóng nhanh, vượt ẩu, vượt đèn đỏ, đi vào đường cấm được coi là hành vi nào trong các hành vi dưới đây?",164,"Là thiếu văn hóa giao thông, vi phạm pháp luật về trật tự, an toàn giao thông đường bộ.",87,Là thiếu văn hóa giao thông.,28,,0,,0,2,1,"Là thiếu văn hóa giao thông, vi phạm pháp luật về trật tự, an toàn giao thông đường bộ.",False,cấm,False,True
198,Khi gặp hiệu lệnh điều khiển của Cảnh Sát Giao Thông như hình dưới đây thì người tham gia giao thông đường bộ phải đi như thế nào là đúng quy tắc giao thông?,157,Người tham gia giao thông đường bộ ở các hướng phải dừng lại.,61,Người tham gia giao thông đường bộ ở các hướng được đi theo chiều gậy chỉ của Cảnh sát giao thông.,98,Người tham gia giao thông đường bộ ở phía trước và phía sau người điều khiển được đi tất cả các hướng; người tham gia giao thông đường bộ ở phía bên phải và phía bên trái người điều khiển phải dừng lại.,202,Người tham gia giao thông đường bộ ở phía trước và phía sau người điều khiển phải dừng lại; người tham gia giao thông đường bộ ở phía bên phải và phía bên trái người điều khiển được đi tất cả các hướng.,202,4,4,Người tham gia giao thông đường bộ ở phía trước và phía sau người điều khiển phải dừng lại; người tham gia giao thông đường bộ ở phía bên phải và phía bên trái người điều khiển được đi tất cả các hướng.,False,giao thông,False,False
199,"Theo hướng mũi tên, thứ tự các xe đi như thế nào là đúng quy tắc giao thông?",76,"Xe tải, xe con, xe mô tô.",25,"Xe con, xe tải, xe mô tô.",25,"Xe mô tô, xe con, xe tải.",25,"Xe con, xe mô tô, xe tải.",25,4,3,"Xe mô tô, xe con, xe tải.",False,giao thông,False,False
200,"Các xe đi theo hướng mũi tên, xe nào vi phạm quy tắc giao thông?",64,"Xe con, xe tải, xe khách.",25,"Xe tải, xe khách, xe mô tô.",27,"Xe khách, xe mô tô, xe con.",27,Cả bốn xe.,10,4,2,"Xe tải, xe khách, xe mô tô.",False,giao thông,False,True
201,"Trên đường bộ, trong khu vực đông dân cư, đường đôi hoặc đường một chiều có từ hai làn xe cơ giới trở lên, xe mô tô hai bánh, ô tô chở người đến 28 chỗ không kể chỗ của người lái xe tham gia giao thông với tốc độ khai thác tối đa cho phép là bao nhiêu?",252,60 km/h.,8,50 km/h.,8,40 km/h.,8,,0,3,1,60 km/h.,False,xe mô tô,False,False
202,Người có mặt tại nơi xảy ra vụ tai giao thông đường bộ có trách nhiệm gì dưới đây?,82,"Giúp đỡ, cứu chữa kịp thời người bị nạn; báo tin ngay cho cơ quan Công an, cơ sở khám bệnh, chữa bệnh hoặc Ủy ban nhân dân nơi gần nhất; tham gia bảo vệ hiện trường; tham gia bảo vệ tài sản của người bị nạn; cung cấp thông tin liên quan về vụ tai nạn theo yêu cầu của cơ quan có thẩm quyền.",290,Chụp lại hình ảnh vụ tai nạn (nếu có thiết bị ghi hình) và nhanh chóng rời khỏi hiện trường vụ tai nạn.,103,Cả hai ý trên.,14,,0,3,1,"Giúp đỡ, cứu chữa kịp thời người bị nạn; báo tin ngay cho cơ quan Công an, cơ sở khám bệnh, chữa bệnh hoặc Ủy ban nhân dân nơi gần nhất; tham gia bảo vệ hiện trường; tham gia bảo vệ tài sản của người bị nạn; cung cấp thông tin liên quan về vụ tai nạn theo yêu cầu của cơ quan có thẩm quyền.",False,giao thông,False,True
203,Biển báo dưới đây có ý nghĩa như thế nào?,41,Báo hiệu tốc độ tối đa cho phép các xe cơ giới chạy.,52,Báo hiệu tốc độ tối thiểu cho phép các xe cơ giới chạy.,55,,0,,0,2,2,Báo hiệu tốc độ tối thiểu cho phép các xe cơ giới chạy.,False,biển,False,False
204,"Biển nào báo hiệu ""Giao nhau có tín hiệu đèn""?",46,Biển 1.,7,Biển 2.,7,Biển 3.,7,Cả ba biển.,11,4,3,Biển 3.,False,biển,True,False
205,"Khi đèn pha của xe đi ngược chiều gây chói mắt, làm giảm khả năng quan sát trên đường, người lái xe xử lý như thế nào dưới đây để bảo đảm an toàn?",146,"Giảm tốc độ, giữ vững tay lái, nhìn chếch sang lề đường bên phải.",65,Bật đèn pha chiếu xa và giữ nguyên tốc độ.,42,"Tăng tốc độ, bật đèn pha đối diện xe phía trước.",48,,0,3,1,"Giảm tốc độ, giữ vững tay lái, nhìn chếch sang lề đường bên phải.",False,an toàn,False,False
206,"Trong các trường hợp dưới đây, để bảo đảm an toàn khi tham gia giao thông, người lái xe mô tô cần thực hiện như thế nào?",120,"Phải đội mũ bảo hiểm theo đúng quy chuẩn kỹ thuật quốc gia và cài quai đúng quy cách, không sử dụng ô, điện thoại di động, thiết bị âm thanh (trừ thiết bị trợ thính).",166,"Phải đội mũ bảo hiểm khi trời mưa gió hoặc trời quá nắng; có thể sử dụng ô, điện thoại di động, thiết bị âm thanh nhưng phải bảo đảm an toàn.",141,Phải đội mũ bảo hiểm khi cảm thấy mất an toàn giao thông hoặc khi chuẩn bị di chuyển quãng đường xa.,100,,0,3,1,"Phải đội mũ bảo hiểm theo đúng quy chuẩn kỹ thuật quốc gia và cài quai đúng quy cách, không sử dụng ô, điện thoại di động, thiết bị âm thanh (trừ thiết bị trợ thính).",False,xe mô tô,False,False
